collection_file,graph_dir,b_ni,b_na,b_ei,b_ea,graph_sample_size,cost_arborescence,base_compression_cost,num_nodes,num_leafs,avg_degree,min_degree,max_degree,root_degree,avg_depth,max_depth,cost_arborescence_refined,num_nodes,num_leafs,avg_degree,min_degree,max_degree,root_degree,avg_depth,max_depth,base_compression_cost_2,compression_ratio,compression_ratio_refined,gedlib_runtime_initial,gedlib_runtime_refinement,spanning_arb_runtime,refine_arb_runtime
/home/lucas/Documents/stage/gedlib/compression/data/collections/Lucas_test.xml,/home/lucas/Documents/stage/gedlib/compression/data/datasets/Lucas_test,1.000000,1.000000,1.000000,1.000000,0,227.000000,227.000000,13,12,12.000000,12,12,12,0.923077,1,227.000000,13,12,12.000000,12,12,12,0.923077,1,227.000000,1.000000,1.000000,0.362005,0.000201,0.000400,0.000097
/home/lucas/Documents/stage/gedlib/compression/data/collections/Lucas_test.xml,/home/lucas/Documents/stage/gedlib/compression/data/datasets/Lucas_test,1.000000,1.000000,1.000000,1.000000,0,227.000000,227.000000,13,12,12.000000,12,12,12,0.923077,1,227.000000,13,12,12.000000,12,12,12,0.923077,1,227.000000,1.000000,1.000000,0.014647,0.000050,0.000242,0.000072
/home/lucas/Documents/stage/gedlib/compression/data/collections/Lucas_test.xml,/home/lucas/Documents/stage/gedlib/compression/data/datasets/Lucas_test,1.000000,1.000000,1.000000,1.000000,0,227.000000,227.000000,13,12,12.000000,12,12,12,0.923077,1,227.000000,13,12,12.000000,12,12,12,0.923077,1,227.000000,1.000000,1.000000,0.014512,0.000050,0.000211,0.000064
/home/lucas/Documents/stage/gedlib/compression/data/collections/Lucas_test.xml,/home/lucas/Documents/stage/gedlib/compression/data/datasets/Lucas_test,1.000000,1.000000,1.000000,1.000000,13,173.000000,227.000000,13,5,1.500000,1,3,1,4.153846,7,173.000000,13,5,1.500000,1,3,1,4.153846,7,227.000000,0.762115,0.762115,0.077445,0.000060,0.000306,0.000075
collection_file,graph_dir,b_ni,b_na,b_ei,b_ea,graph_sample_size,cost_arborescence,base_compression_cost,num_nodes,num_leafs,avg_degree,min_degree,max_degree,root_degree,avg_depth,max_depth,cost_arborescence_refined,num_nodes,num_leafs,avg_degree,min_degree,max_degree,root_degree,avg_depth,max_depth,base_compression_cost_2,compression_ratio,compression_ratio_refined,gedlib_runtime_initial,gedlib_runtime_refinement,spanning_arb_runtime,refine_arb_runtime
/home/lucas/Documents/stage/gedlib/compression/data/collections/Lucas_test.xml,/home/lucas/Documents/stage/gedlib/compression/data/datasets/Lucas_test,1.000000,1.000000,1.000000,1.000000,3,204.000000,227.000000,13,6,1.714286,1,5,5,2.153846,5,204.000000,13,6,1.714286,1,5,5,2.153846,5,227.000000,0.898678,0.898678,0.047992,0.000064,0.000244,0.000062
/home/lucas/Documents/stage/gedlib/compression/data/collections/Lucas_test.xml,/home/lucas/Documents/stage/gedlib/compression/data/datasets/Lucas_test,1.000000,1.000000,1.000000,1.000000,6,192.000000,227.000000,13,5,1.500000,1,3,1,3.076923,6,192.000000,13,5,1.500000,1,3,1,3.076923,6,227.000000,0.845815,0.845815,0.050658,0.000067,0.004502,0.000053
/home/lucas/Documents/stage/gedlib/compression/data/collections/Lucas_test.xml,/home/lucas/Documents/stage/gedlib/compression/data/datasets/Lucas_test,1.000000,1.000000,1.000000,1.000000,9,178.000000,227.000000,13,4,1.333333,1,2,1,5.076923,9,178.000000,13,4,1.333333,1,2,1,5.076923,9,227.000000,0.784141,0.784141,0.079742,0.000166,0.000353,0.000110
/home/lucas/Documents/stage/gedlib/compression/data/collections/Lucas_test.xml,/home/lucas/Documents/stage/gedlib/compression/data/datasets/Lucas_test,1.000000,1.000000,1.000000,1.000000,13,173.000000,227.000000,13,5,1.500000,1,3,1,4.153846,7,173.000000,13,5,1.500000,1,3,1,4.153846,7,227.000000,0.762115,0.762115,0.094554,0.000113,0.000341,0.000161
collection_file,graph_dir,b_ni,b_na,b_ei,b_ea,graph_sample_size,cost_arborescence,base_compression_cost,num_nodes,num_leafs,avg_degree,min_degree,max_degree,root_degree,avg_depth,max_depth,cost_arborescence_refined,num_nodes,num_leafs,avg_degree,min_degree,max_degree,root_degree,avg_depth,max_depth,base_compression_cost_2,compression_ratio,compression_ratio_refined,gedlib_runtime_initial,gedlib_runtime_refinement,spanning_arb_runtime,refine_arb_runtime
